order_id,customer_id,sku_id,qty_units,due_in_days,order_value_cad
SO_A_9301,CUST_AFTER_1,SKU_MOD_F,500,5,22000.0
SO_A_9302,CUST_OEM_2,SKU_MOD_D,800,4,96000.0
SO_A_9303,CUST_OEM_2,SKU_MOD_A,400,4,34000.0
SO_A_9304,CUST_OEM_1,SKU_MOD_A,650,8,55250.0
SO_A_9305,CUST_AFTER_1,SKU_MOD_F,650,2,28600.0
SO_A_9306,CUST_OEM_1,SKU_MOD_A,200,5,17000.0
SO_A_9307,CUST_OEM_1,SKU_MOD_D,500,7,60000.0
SO_A_9308,CUST_AFTER_1,SKU_MOD_F,650,5,28600.0
SO_A_9309,CUST_TIER1_1,SKU_MOD_E,200,3,7200.0
SO_A_9310,CUST_AFTER_1,SKU_MOD_F,500,3,22000.0
SO_A_9311,CUST_TIER1_1,SKU_MOD_E,300,6,10800.0
SO_A_9312,CUST_OEM_1,SKU_MOD_A,650,3,55250.0
SO_A_9313,CUST_AFTER_1,SKU_MOD_F,400,8,17600.0
SO_A_9314,CUST_OEM_1,SKU_MOD_A,800,2,68000.0
SO_A_9315,CUST_OEM_1,SKU_MOD_D,200,10,24000.0
SO_A_9316,CUST_AFTER_1,SKU_MOD_F,500,3,22000.0
SO_A_9317,CUST_OEM_2,SKU_MOD_D,400,3,48000.0
SO_A_9318,CUST_TIER1_1,SKU_MOD_E,200,8,7200.0
SO_A_9319,CUST_OEM_1,SKU_MOD_A,300,3,25500.0
SO_A_9320,CUST_OEM_1,SKU_MOD_A,500,10,42500.0
SO_A_9321,CUST_OEM_1,SKU_MOD_D,500,5,60000.0
SO_A_9322,CUST_OEM_2,SKU_MOD_D,800,8,96000.0
SO_A_9323,CUST_OEM_2,SKU_MOD_A,500,5,42500.0
SO_A_9324,CUST_OEM_2,SKU_MOD_A,650,6,55250.0
SO_A_9325,CUST_OEM_1,SKU_MOD_A,300,8,25500.0
SO_A_9326,CUST_OEM_1,SKU_MOD_A,300,5,25500.0
SO_A_9327,CUST_AFTER_1,SKU_MOD_F,200,7,8800.0
SO_A_9328,CUST_TIER1_1,SKU_MOD_E,200,3,7200.0
SO_A_9329,CUST_OEM_1,SKU_MOD_A,650,5,55250.0
SO_A_9330,CUST_OEM_2,SKU_MOD_A,400,10,34000.0
SO_A_9331,CUST_OEM_2,SKU_MOD_D,650,4,78000.0
SO_A_9332,CUST_AFTER_1,SKU_MOD_F,800,4,35200.0
SO_A_9333,CUST_TIER1_1,SKU_MOD_E,650,5,23400.0
SO_A_9334,CUST_OEM_1,SKU_MOD_D,800,5,96000.0
SO_A_9335,CUST_AFTER_1,SKU_MOD_F,650,3,28600.0
SO_A_9336,CUST_AFTER_1,SKU_MOD_F,200,3,8800.0
SO_A_9337,CUST_OEM_2,SKU_MOD_A,300,8,25500.0
SO_A_9338,CUST_TIER1_1,SKU_MOD_E,650,10,23400.0
SO_A_9339,CUST_TIER1_1,SKU_MOD_E,800,3,28800.0
SO_A_9340,CUST_OEM_1,SKU_MOD_D,500,3,60000.0
SO_A_9341,CUST_TIER1_1,SKU_MOD_E,300,2,10800.0
SO_A_9342,CUST_OEM_2,SKU_MOD_A,500,10,42500.0
SO_A_9343,CUST_OEM_1,SKU_MOD_D,200,4,24000.0
SO_A_9344,CUST_TIER1_1,SKU_MOD_E,650,4,23400.0
SO_A_9345,CUST_OEM_2,SKU_MOD_A,300,10,25500.0
