supplier_id,part_id,unit_cost_cad,min_order_qty,lead_time_days,lane_id
SUP_MX_FAST,PART_BOLT_A,0.22,5000,14,MX->US_truck
SUP_US_STEEL,PART_BOLT_A,0.24,5000,14,US_domestic_truck
SUP_US_STEEL,PART_BRKT_A,1.15,1000,21,US_domestic_truck
SUP_CA_MOLD,PART_HOUS_A,1.8,1000,18,CA->US_truck
SUP_CN_ELEC,PART_SENS_A,6.8,500,50,CN->US_ocean
SUP_CN_ELEC,PART_PCB,4.9,500,65,CN->US_ocean
SUP_US_STEEL,PART_WIRE_A,3.4,1000,30,US_domestic_truck
SUP_CA_MOLD,PART_WIRE_A,3.65,1000,30,CA->US_truck
SUP_MX_FAST,PART_SCREW,0.14,5000,12,MX->US_truck
SUP_US_STEEL,PART_SCREW,0.15,5000,12,US_domestic_truck
SUP_CA_MOLD,PART_PACK,0.15,2000,5,CA->US_truck
