order_id,customer_id,sku_id,qty_units,due_in_days,order_value_cad
SO_E_9001,CUST_OEM_1,SKU_EDGE_B,100,14,17500.0
SO_E_9002,CUST_OEM_1,SKU_SENS_A,150,5,18000.0
SO_E_9003,CUST_OEM_2,SKU_SENS_A,150,7,18000.0
SO_E_9004,CUST_OEM_2,SKU_EDGE_B,150,14,26250.0
SO_E_9005,CUST_OEM_2,SKU_SENS_A,200,7,24000.0
SO_E_9006,CUST_OEM_1,SKU_EDGE_B,240,14,42000.0
SO_E_9007,CUST_OEM_1,SKU_SENS_A,200,5,24000.0
SO_E_9008,CUST_OEM_1,SKU_EDGE_B,100,5,17500.0
SO_E_9009,CUST_UTIL_2,SKU_GATE_A,150,18,39750.0
SO_E_9010,CUST_OEM_2,SKU_SENS_A,120,18,14400.0
SO_E_9011,CUST_DIST_1,SKU_EDGE_D,80,9,11200.0
SO_E_9012,CUST_UTIL_1,SKU_EDGE_A,80,12,16800.0
SO_E_9013,CUST_OEM_2,SKU_EDGE_B,200,12,35000.0
SO_E_9014,CUST_UTIL_2,SKU_GATE_A,150,12,39750.0
SO_E_9015,CUST_DIST_1,SKU_EDGE_D,150,14,21000.0
SO_E_9016,CUST_OEM_1,SKU_SENS_A,100,18,12000.0
SO_E_9017,CUST_UTIL_2,SKU_EDGE_A,150,18,31500.0
SO_E_9018,CUST_OEM_2,SKU_EDGE_B,150,14,26250.0
SO_E_9019,CUST_DIST_1,SKU_EDGE_D,200,18,28000.0
SO_E_9020,CUST_OEM_2,SKU_EDGE_B,100,5,17500.0
SO_E_9021,CUST_UTIL_2,SKU_EDGE_A,240,18,50400.0
SO_E_9022,CUST_OEM_1,SKU_SENS_A,100,5,12000.0
SO_E_9023,CUST_OEM_1,SKU_SENS_A,60,9,7200.0
SO_E_9024,CUST_OEM_2,SKU_SENS_A,240,5,28800.0
SO_E_9025,CUST_UTIL_1,SKU_EDGE_A,120,18,25200.0
SO_E_9026,CUST_DIST_1,SKU_EDGE_D,150,9,21000.0
SO_E_9027,CUST_DIST_1,SKU_EDGE_D,60,9,8400.0
SO_E_9028,CUST_UTIL_1,SKU_EDGE_A,60,14,12600.0
SO_E_9029,CUST_DIST_1,SKU_EDGE_D,80,12,11200.0
SO_E_9030,CUST_UTIL_2,SKU_GATE_A,80,18,21200.0
SO_E_9031,CUST_UTIL_2,SKU_EDGE_A,100,9,21000.0
SO_E_9032,CUST_OEM_2,SKU_EDGE_B,120,12,21000.0
SO_E_9033,CUST_DIST_1,SKU_EDGE_D,200,14,28000.0
SO_E_9034,CUST_DIST_1,SKU_EDGE_D,150,14,21000.0
SO_E_9035,CUST_UTIL_2,SKU_GATE_A,200,18,53000.0
