supplier_id,part_id,unit_cost_cad,min_order_qty,lead_time_days,lane_id
SUP_CN_CHIP,PART_MCU,24.0,500,95,CN->CA_ocean
SUP_CN_CHIP,PART_MEM,6.0,500,65,CN->CA_ocean
SUP_CN_CHIP,PART_PWRIC,8.5,500,75,CN->CA_ocean
SUP_CN_CHIP,PART_SENS,12.0,500,60,CN->CA_ocean
SUP_MY_PCB,PART_PCB,9.0,200,25,MY->CA_ocean
SUP_US_ENC,PART_ENC,7.0,200,15,US->CA_truck
SUP_VN_PASS,PART_PASS,2.1,200,35,VN->CA_ocean
SUP_VN_PASS,PART_CONN,3.2,200,30,VN->CA_ocean
SUP_VN_PASS,PART_LED,1.0,200,20,VN->CA_ocean
SUP_CA_PACK,PART_PACK,0.8,500,5,US->CA_truck
SUP_CA_PACK,PART_LABEL,0.2,500,7,US->CA_truck
SUP_CA_PACK,PART_FW,0.5,1,1,US->CA_truck
